Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat , horse , cow , lion , tiger , elephant , pig , bear . And the other : battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log , cat , horse , cow , lion , tiger , elephant , pig . And the other : trombone , oboe , piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse , log , cat , horse , cow , lion , tiger , elephant . And the other : baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton , football .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear , mouse , log , cat , horse , cow , lion , tiger . And the other : drill , screws , hammer , saw , nails , level , plane , chisel , ruler , wrench .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig , bear , mouse , log , cat , horse , cow , lion . And the other : blouse , skirt , coat , dress , hat , sweater , shirt , socks , pants , shoes .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant , pig , bear , mouse , log , cat , horse , cow . And the other : brown , blonde , blue , red , green , yellow , black , purple , white , pink .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger , elephant , pig , bear , mouse , log , cat , horse . And the other : piano , drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion , tiger , elephant , pig , bear , mouse , log , cat . And the other : calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow , lion , tiger , elephant , pig , bear , mouse , log . And the other : botany , astronomy , mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly . And the other : walnut , fir , hickory , oak , maple , pine , elm , birch , spruce , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth , flea . And the other : nails , level , plane , chisel , ruler , wrench , drill , screws , hammer , saw .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp , moth . And the other : tundra , ocean , cave , mountain , hill , valley , river , rock , lake , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle , wasp . And the other : lion , tiger , elephant , pig , bear , mouse , log , cat , horse , cow .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider , beetle . And the other : football , baseball , basketball , tennis , swimming , soccer , golf , hockey , lacrosse , badminton .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito , spider . And the other : peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee , mosquito . And the other : sweater , shirt , socks , pants , shoes , blouse , skirt , coat , dress , hat .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant , bee . And the other : drum , trumpet , violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly , ant . And the other : eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly . And the other : cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green , yellow , black , purple , white , pink , brown , blonde . And the other : guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet , flute .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red , green , yellow , black , purple , white , pink , brown . And the other : astronomy , mathematics , geology , microbiology , chemistry , physics , psychology , biology , zoology , botany .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue , red , green , yellow , black , purple , white , pink . And the other : lacrosse , badminton , football , baseball , basketball , tennis , swimming , soccer , golf , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde , blue , red , green , yellow , black , purple , white . And the other : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown , blonde , blue , red , green , yellow , black , purple . And the other : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink , brown , blonde , blue , red , green , yellow , black . And the other : shirt , socks , pants , shoes , blouse , skirt , coat , dress , hat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white , pink , brown , blonde , blue , red , green , yellow . And the other : tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple , white , pink , brown , blonde , blue , red , green . And the other : professor , carpenter , salesman , nurse , psychologist , doctor , lawyer , teacher , dentist , engineer .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black , purple , white , pink , brown , blonde , blue , red . And the other : guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin , clarinet , flute .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow , black , purple , white , pink , brown , blonde , blue . And the other : shirt , socks , pants , shoes , blouse , skirt , coat , dress , hat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas , felt . And the other : spruce , redwood , walnut , fir , hickory , oak , maple , pine , elm , birch .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool , silk , rayon , linen , satin , velvet , denim , canvas . And the other : yellow , black , purple , white , pink , brown , blonde , blue , red , green .
